Date,Open,High,Low,Close,Volume
2025-04-16,83643.99,85500.0,83111.64,84030.38,20867.24519
2025-04-17,84030.38,85470.01,83736.26,84947.91,13728.84772
2025-04-18,84947.92,85132.08,84303.96,84474.69,6529.96315
2025-04-19,84474.7,85677.99,84364.45,85077.01,9666.58153
2025-04-20,85077.0,85320.76,83949.52,85179.24,8091.67725
2025-04-21,85179.24,88465.99,85144.76,87516.23,31773.37262
2025-04-22,87516.22,93888.0,87076.03,93442.99,43872.74705
2025-04-23,93442.99,94696.05,91935.41,93691.08,27404.16808
2025-04-24,93691.07,94005.0,91660.01,93980.47,19497.06071
2025-04-25,93980.47,95758.04,92855.96,94638.68,27500.66648
2025-04-26,94638.68,95199.0,93870.69,94628.0,9415.06875
2025-04-27,94628.0,95369.0,93602.58,93749.3,11162.841
2025-04-28,93749.29,95630.0,92800.01,95011.18,22157.53351
2025-04-29,95011.18,95461.53,93742.54,94256.82,16955.3402
2025-04-30,94256.82,95228.45,92910.0,94172.0,17661.2751
2025-05-01,94172.0,97424.02,94130.43,96489.91,21380.45343
2025-05-02,96489.9,97895.68,96350.0,96887.14,14905.74811
2025-05-03,96887.13,96935.67,95753.01,95856.42,9723.34838
2025-05-04,95856.42,96304.48,94151.38,94277.62,11036.38342
2025-05-05,94277.61,95199.0,93514.1,94733.68,17251.18189
2025-05-06,94733.68,96920.65,93377.0,96834.02,16122.64513
2025-05-07,96834.02,97732.0,95784.61,97030.5,16644.83854
2025-05-08,97030.5,104145.76,96876.29,103261.6,34962.02847
2025-05-09,103261.61,104361.3,102315.14,102971.99,27617.39907
2025-05-10,102971.99,104984.57,102818.76,104809.53,15324.78611
2025-05-11,104809.53,104972.0,103345.06,104118.0,17987.12197
2025-05-12,104118.0,105819.45,100718.37,102791.32,31272.77792
2025-05-13,102791.32,104976.25,101429.7,104103.72,21253.42409
2025-05-14,104103.72,104356.95,102602.05,103507.82,16452.9081
2025-05-15,103507.83,104192.7,101383.07,103763.71,17998.98604
2025-05-16,103763.71,104550.33,103100.49,103463.9,15683.88024
2025-05-17,103463.9,103709.86,102612.5,103126.65,11250.89622
2025-05-18,103126.65,106660.0,103105.09,106454.26,21599.98726
2025-05-19,106454.27,107108.62,102000.0,105573.74,30260.03524
2025-05-20,105573.73,107320.0,104184.72,106849.99,23705.48275
2025-05-21,106850.0,110797.38,106100.01,109643.99,45531.040345
2025-05-22,109643.99,111980.0,109177.37,111696.21,31630.77313
2025-05-23,111696.22,111800.0,106800.0,107318.3,31737.72309
2025-05-24,107318.3,107875.66,106875.41,107611.04,1495.60165
